Marshall Wace LLP,EOLUS VIND AB,SE0007075056,"<0,5",2/9/2021,
Point72 Asset Management LP,Oncopeptides AB,SE0009414576,"<0,5",2/8/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"<0,5",2/5/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"<0,5",2/5/2021,
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,14",2/5/2021,
GUEVOURA FUND,Modern Times Group MTG AB,SE0000412371,"0,51",2/4/2021,
GUEVOURA FUND,Medivir Aktiebolag,SE0000273294,"0,58",2/4/2021,
CREDIT INDUSTRIEL ET COMMERCIAL,Modern Times Group MTG AB,SE0000412371,"0,63",2/4/2021,
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"<0,5",2/4/2021,
GSA Capital Partners LLP,Kancera AB,SE0003622265,"0,74",2/3/2021,
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,25",2/3/2021,
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,82",2/2/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,52",2/2/2021,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,67",2/2/2021,
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"0,86",2/2/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,58",2/2/2021,
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"0,92",2/1/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,62",2/1/2021,
Marshall Wace LLP,Telia Company AB,SE0000667925,"<0,5",2/1/2021,
GSA Capital Partners LLP,Kancera AB,SE0003622265,"0,61",2/1/2021,
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"0,79",2/1/2021,
Naya Capital Management UK Limited,JM AB,SE0000806994,"<0,5",2/1/2021,
Voleon Capital Management LP,Azelio AB,SE0011973940,"<0,5",2/1/2021,
Citadel Europe LLP,Alfa Laval AB,SE0000695876,"0,58",1/29/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,58",1/29/2021,
Marshall Wace LLP,Telia Company AB,SE0000667925,"0,5",1/29/2021,
Marshall Wace LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,86",1/29/2021,
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,56",1/29/2021,
Naya Capital Management UK Limited,JM AB,SE0000806994,"0,8",1/29/2021,
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"0,83",1/29/2021,
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"1,14",1/29/2021,
Voleon Capital Management LP,Azelio AB,SE0011973940,"0,5",1/29/2021,
Citadel Europe LLP,Elekta AB (publ),SE0000163628,"<0,5",1/28/2021,
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,96",1/28/2021,
Capital Fund Management SA,Scandic Hotels Group AB,SE0007640156,1,1/28/2021,
GSA Capital Partners LLP,Kancera AB,SE0003622265,"0,5",1/28/2021,
Naya Capital Management UK Limited,JM AB,SE0000806994,"1,16",1/28/2021,
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"1,03",1/28/2021,
Armistice Capital LLC,Orexo AB,SE0000736415,"2,05",1/28/2021,
Whale Rock Capital Management LLC,Fingerprint Cards AB,SE0008374250,"<0,5",1/28/2021,
Voleon Capital Management LP,Azelio AB,SE0011973940,"<0,5",1/28/2021,
Mangrove Partners,Mycronic AB (publ),SE0000375115,"0,76",1/28/2021,
Parian Global Management LP,EOLUS VIND AB,SE0007075056,"0,52",1/27/2021,
Citadel Europe LLP,Alfa Laval AB,SE0000695876,"0,62",1/27/2021,
Marshall Wace LLP,Telia Company AB,SE0000667925,"0,67",1/27/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,69",1/27/2021,
AQR Capital Management LLC,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,59",1/27/2021,
GREENVALE CAPITAL LLP,Elekta AB (publ),SE0000163628,"0,64",1/27/2021,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,79",1/27/2021,
BlackRock Investment Management (UK) Limited,Alimak Group AB (publ),SE0007158910,"<0,5",1/27/2021,
Marshall Wace LLP,MIPS AB,SE0009216278,"0,61",1/27/2021,
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"1,28",1/27/2021,
Sandbar Asset Management LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,68",1/27/2021,
CapeView Capital LLP,SAAB Aktiebolag,SE0000112385,"0,81",1/27/2021,
Naya Capital Management UK Limited,JM AB,SE0000806994,"1,31",1/27/2021,
Whale Rock Capital Management LLC,Fingerprint Cards AB,SE0008374250,"3,48",1/27/2021,
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,31",1/27/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,63",1/27/2021,
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,63",1/26/2021,
Citadel Europe LLP,Elekta AB (publ),SE0000163628,"0,54",1/26/2021,
BlackRock Investment Management (UK) Limited,Alimak Group AB (publ),SE0007158910,"0,56",1/26/2021,
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,68",1/26/2021,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"<0,5",1/26/2021,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,7",1/26/2021,
Voleon Capital Management LP,Azelio AB,SE0011973940,"0,5",1/26/2021,
BlackRock Investment Management (UK) Limited,Alimak Group AB (publ),SE0007158910,"0,61",1/25/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,71",1/25/2021,
GREENVALE CAPITAL LLP,Elekta AB (publ),SE0000163628,"0,58",1/25/2021,
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,85",1/25/2021,
Voleon Capital Management LP,Byggmax Group AB,SE0003303627,"<0,5",1/25/2021,
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"0,51",1/22/2021,
Point72 Asset Management LP,Hansa Biopharma AB,SE0002148817,"<0,5",1/22/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,69",1/22/2021,
Marshall Wace LLP,Securitas AB,SE0000163594,"1,24",1/22/2021,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"0,58",1/22/2021,
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,51",1/22/2021,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,63",1/22/2021,
Mangrove Partners,Mycronic AB (publ),SE0000375115,"0,82",1/21/2021,
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"1,56",1/21/2021,
ALCUR FONDER AB,Scandic Hotels Group AB,SE0007640156,"1,31",1/21/2021,
Marshall Wace LLP,G5 Entertainment AB (publ),SE0001824004,"0,84",1/21/2021,
Tower House Partners LLP,Loomis AB,SE0014504817,"0,55",1/21/2021,
Marshall Wace LLP,EOLUS VIND AB,SE0007075056,"0,5",1/21/2021,
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"1,03",1/21/2021,
Sandbar Asset Management LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,83",1/21/2021,
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,71",1/21/2021,
Linden Advisors LP,Recipharm AB (publ),SE0005757267,"1,16",1/21/2021,
Marshall Wace LLP,Securitas AB,SE0000163594,"1,12",1/20/2021,
Marshall Wace LLP,G5 Entertainment AB (publ),SE0001824004,"0,75",1/20/2021,
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"1,81",1/20/2021,
Capital Fund Management SA,Scandic Hotels Group AB,SE0007640156,"0,9",1/20/2021,
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,88",1/20/2021,
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,69",1/20/2021,
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,22",1/20/2021,
Mangrove Partners,Mycronic AB (publ),SE0000375115,"0,95",1/19/2021,
Acadian Asset Management LLC,Smart Eye Aktiebolag (publ),SE0009268279,"<0,5",1/19/2021,
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,5",1/19/2021,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,89",1/19/2021,
Marshall Wace LLP,Husqvarna Aktiebolag,SE0001662230,"0,51",1/19/2021,
Marshall Wace LLP,Hexagon Aktiebolag,SE0000103699,"<0,5",1/19/2021,
Linden Advisors LP,Recipharm AB (publ),SE0005757267,"1,23",1/19/2021,
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"1,97",1/19/2021,
Mangrove Partners,Mycronic AB (publ),SE0000375115,"1,08",1/18/2021,
Pictet Asset Management SA,SSAB AB,SE0000120669,"<0,5",1/18/2021,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,7",1/18/2021,
Marshall Wace LLP,Securitas AB,SE0000163594,"1,09",1/18/2021,
Capital Fund Management SA,Scandic Hotels Group AB,SE0007640156,"0,89",1/18/2021,
Voleon Capital Management LP,Byggmax Group AB,SE0003303627,"0,57",1/18/2021,
ALCUR FONDER AB,Scandic Hotels Group AB,SE0007640156,"1,25",1/15/2021,
ALCUR FONDER AB,Pandox Aktiebolag,SE0007100359,"0,71",1/15/2021,
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"0,97",1/15/2021,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"0,63",1/15/2021,
Marshall Wace LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,9",1/15/2021,
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,98",1/15/2021,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,52",1/15/2021,
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,7",1/15/2021,
Marshall Wace LLP,G5 Entertainment AB (publ),SE0001824004,"0,65",1/14/2021,
